4.9047e+05,4.8867e+05,4.9216e+05,4.9053e+05,9.81
4.895e+05,4.9176e+05,4.895e+05,4.8896e+05,9.81
4.9182e+05,4.8732e+05,4.8828e+05,4.9532e+05,9.81
4.9065e+05,4.8963e+05,4.8911e+05,4.9251e+05,9.81
4.8811e+05,4.9049e+05,4.9107e+05,4.8819e+05,9.81
4.8811e+05,4.9017e+05,4.8917e+05,4.8859e+05,9.81
4.8983e+05,4.8995e+05,4.8992e+05,4.8817e+05,9.81
4.9074e+05,4.8911e+05,4.9024e+05,4.9074e+05,9.81
4.8704e+05,4.8803e+05,4.8933e+05,4.9186e+05,9.81
4.8664e+05,4.9005e+05,4.9077e+05,4.9144e+05,9.81
4.8975e+05,4.8965e+05,4.9028e+05,4.911e+05,9.81
4.8995e+05,4.8779e+05,4.8843e+05,4.9039e+05,9.81
4.9153e+05,4.9255e+05,4.925e+05,4.8887e+05,9.81
4.9226e+05,4.8898e+05,4.8903e+05,4.8807e+05,9.81
4.8867e+05,4.8922e+05,4.8962e+05,4.9119e+05,9.81
4.8807e+05,4.8937e+05,4.9135e+05,4.9045e+05,9.81
4.9127e+05,4.8875e+05,4.8817e+05,4.8893e+05,9.81
4.9172e+05,4.9128e+05,4.942e+05,4.904e+05,9.81
4.9028e+05,4.897e+05,4.8982e+05,4.9222e+05,9.81
4.8888e+05,4.8673e+05,4.9347e+05,4.877e+05,9.81
