1,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0195,1.0195,0,0,0.195,0,0,0.195,0,0,0.195,0,0,0.195
1.058,1.058,0,0,0.38512,0,0,0.38512,0,0,0.38512,0,0,0.38512
1.1151,1.1151,0,0,0.5705,0,0,0.5705,0,0,0.5705,0,0,0.5705
1.1902,1.1902,0,0,0.75123,0,0,0.75123,0,0,0.75123,0,0,0.75123
1.2829,1.2829,0,0,0.92745,0,0,0.92745,0,0,0.92745,0,0,0.92745
1.3929,1.3929,0,0,1.0993,0,0,1.0993,0,0,1.0993,0,0,1.0993
1.5195,1.5195,0,0,1.2668,0,0,1.2668,0,0,1.2668,0,0,1.2668
1.6625,1.6625,0,0,1.4301,0,0,1.4301,0,0,1.4301,0,0,1.4301
1.8215,1.8215,0,0,1.5894,0,0,1.5894,0,0,1.5894,0,0,1.5894
1.9959,1.9959,0,0,1.7446,0,0,1.7446,0,0,1.7446,0,0,1.7446
2.1855,2.1855,0,0,1.896,0,0,1.896,0,0,1.896,0,0,1.896
2.3899,2.3899,0,0,2.0436,0,0,2.0436,0,0,2.0436,0,0,2.0436
2.6087,2.6087,0,0,2.1875,0,0,2.1875,0,0,2.1875,0,0,2.1875
2.8414,2.8414,0,0,2.3278,0,0,2.3278,0,0,2.3278,0,0,2.3278
3.0879,3.0879,0,0,2.4646,0,0,2.4646,0,0,2.4646,0,0,2.4646
3.3477,3.3477,0,0,2.598,0,0,2.598,0,0,2.598,0,0,2.598
3.6205,3.6205,0,0,2.7281,0,0,2.7281,0,0,2.7281,0,0,2.7281
3.906,3.906,0,0,2.8549,0,0,2.8549,0,0,2.8549,0,0,2.8549
4.2039,4.2039,0,0,2.9785,0,0,2.9785,0,0,2.9785,0,0,2.9785
