0.043	0.043	1.67531	-0.157519	-0.16558	-0.0232306	0.0277878	0.143741	0.00924175	-0.119479	0.0582662	1.82917	-0.097001	-0.160499
0.042	0.042	-1.11036	0.052512	0.049978	-0.0160086	-0.1654	-0.350965	-0.0955082	0.248952	-0.189161	-1.73123	0.0418962	0.179799
0.042	0.042	-2.54654	0.167637	0.16894	-0.012324	-0.254752	-0.595071	-0.149884	0.435119	-0.316344	-3.40185	0.0984615	0.335841
0.042	0.042	-2.66144	0.176051	0.17789	-0.0121035	-0.258428	-0.604996	-0.151934	0.442787	-0.321507	-3.55901	0.104429	0.349886
0.043	0.043	-1.44029	0.0776106	0.0827037	-0.0214686	-0.171588	-0.379382	-0.102109	0.270511	-0.195678	-2.18898	0.0559248	0.233796
0.043	0.043	1.08869	-0.123423	-0.12002	-0.0232007	-0.000104211	0.0744443	-0.0089592	-0.0796625	0.0475461	0.676041	-0.0581393	-0.0262037
0.044	0.044	-1.40071	0.068574	0.0834651	-0.00562865	-0.15985	-0.374442	-0.0910822	0.25205	-0.171449	-0.79371	-0.00542675	0.098601
0.043	0.043	-2.53622	0.155745	0.172152	0.00509942	-0.232801	-0.566117	-0.133441	0.403226	-0.268581	-1.974	0.0411278	0.204033
0.039	0.039	-3.8233	0.256726	0.273989	0.0230365	-0.412172	-1.054	-0.223828	0.775621	-0.509011	-5.01482	0.143738	0.496078
0.045	0.045	-2.91212	0.185891	0.203759	0.0171269	-0.347823	-0.88	-0.188578	0.645068	-0.423499	-3.77156	0.0990544	0.387654
0.039	0.039	-0.672063	0.0177004	0.0117539	0.0125086	-0.187722	-0.488986	-0.0936788	0.331748	-0.208091	-1.1201	0.00182363	0.148436
0.041	0.041	-3.44058	0.235056	0.236477	0.0214582	-0.361345	-0.977635	-0.195829	0.709339	-0.454346	-4.1935	0.121892	0.438751
0.044	0.044	-4.89078	0.348233	0.358286	0.0332306	-0.449185	-1.22123	-0.246582	0.903892	-0.590627	-5.76053	0.185593	0.575252
